datetime,px_change
2016-06-26,-35.08299999999997
2016-06-27,28.15300000000002
2016-06-28,-12.095000000000027
2016-06-29,-7.22199999999998
2016-06-30,33.40300000000002
2016-07-01,4.038000000000011
2016-07-02,27.16300000000001
2016-07-03,-43.99800000000005
2016-07-04,21.942000000000007
2016-07-05,-13.538000000000011
2016-07-06,8.021000000000072
2016-07-07,-36.35200000000009
2016-07-08,24.982000000000085
2016-07-09,-14.1160000000001
2016-07-10,-0.6649999999999636
2016-07-11,-0.9349999999999454
2016-07-12,15.812000000000012
2016-07-13,-10.905000000000086
2016-07-14,5.701999999999998
2016-07-15,5.240000000000009
2016-07-16,-1.3349999999999227
2016-07-17,15.509999999999991
2016-07-18,-5.456999999999994
2016-07-19,0.24899999999990996
2016-07-20,-7.663000000000011
2016-07-21,-1.0809999999999036
